Question,Choice
Are you cis?,Yes
Are you cis?,No
Are you cis?,Maybe
Are you trans?,Yes
Are you trans?,No
Are you trans?,Maybe
Are you non-binary?,Yes
Are you non-binary?,No
Are you non-binary?,Maybe
Are you a woman?,Yes
Are you a woman?,No
Are you a woman?,Maybe
Are you a man?,Yes
Are you a man?,No
Are you a man?,Maybe
Are you femme?,Yes
Are you femme?,No
Are you femme?,Maybe
Are you butch?,Yes
Are you butch?,No
Are you butch?,Maybe
Do you like dogs?,I have one (or more)
Do you like dogs?,Not really
Do you like dogs?,Very much
Do you like cats?,I have one (or more)
Do you like cats?,Not really
Do you like cats?,Very much
Do you like plants?,I have one (or more)
Do you like plants?,Not really
Do you like plants?,Very much
Do you like coffee?,Love it
Do you like coffee?,I drink it to function
Do you like coffee?,Hate it
Do you like coffee?,Meh
Are you kinky?,Yes
Are you kinky?,No
Are you kinky?,Maybe
