text,option_1,option_2,option_3,option_4
Breast implants?,more cool than pathetic,more pathetic than cool,,
How does the idea of being slapped hard in the face during sex make you feel?,Horrified,Aroused,Nostalgic,Indifferent
Divide your age by 2.  Have you had sex with at least that many people?,Yes,No,,
Is a girl who's slept with 100 guys a bad person?,Yes,No,,
Is a guy who's slept with 100 girls a bad person?,Yes,No,,
"Should sex with someone 16 years old be a jailable offense, if you're 25 or older?",Yes,No,,
Would you date someone just for the sex?,Yes,No,,
Do you have experience being in a slave/master relationship?,Yes,No,,
"BDSM: Without looking it up, do you know exactly what it stands for?",Yes,No,,
Do you enjoy meaningless sex?,Yes,No,,
Do you read erotic fiction?,Yes,No,,
Is it wrong to watch pornographic films if you're in a relationship?,Yes,No,,
Would you watch a porno movie with your ideal match?,Yes,No,,
Have you ever owned sex toys?,Yes,No,,
Which is a bigger deal for you?,Telling someone you really care,Oral sex,,
Would you dump someone simply because they weren't good at sex?,Yes,No,,
Would you rather:,be tied up during sex,do the tying,avoid bondage all together,
Would you like to receive pain during sex?,"Yes, lots and lots","Yes, some",No,
Group sex (with 3 or more people):,I have tried it.,It seriously interests me.,I have little or no interest.,
Do you like kissing in public?,Yes,No,,
Are you more horny or more lonely?,Horny,Lonely,,
"Regardless of future plans, what's more interesting to you right now?",Sex,Love,,
Would you ever consider an open marriage? That means you can sleep with other people.,Yes,No,,
How old were you when you lost your virginity?,Under 18,18 or Over,I never have!,
Would you ever take your family to a nude beach?,Yes,No,,
Would you let your children under 13 watch movies with full nudity?,Yes,No,,
How important is religion/God in your life?,Extremely important,Somewhat important,Not very important,Not at all important
Is your duty to religion/God the most important thing in your life?,Yes,No,,
"Do you believe in some kind of a spiritual, cosmic force outside the realm of most modern religion?",Yes,No,,
Some religions are more correct than others.,TRUE,FALSE,,
Do you believe in ghosts?,Yes,No,,
"Would you prefer good things happened, or interesting things?",Good,Interesting,,
Which would you rather be?,Normal,Weird,,
Which word describes you better?,Carefree,Intense,,
Have you ever seen a therapist?,Yes,No,,
Do you think really abstract art—like just splattered paint—can be truly brilliant?,Yes,No,,
"When telling stories, do you like to exaggerate?",Yes,No,,
"Which, on you, is closest to perfection?",Your mind,Your body,Your wallet,Your soul
Does the idea of flipping a coin to make important life decisions appeal to you?,Yes,No,,
Are you attracted to dangerous situations?,Yes,No,,
Do you like to argue?,Yes,No,,
Which describes you better?,Warm-hearted,Cool-headed,,
